time	V(vcap)
7.808742992613495e-005	4.998665e+000
7.821885849756354e-005	4.998964e+000
7.835028706899213e-005	4.999264e+000
7.848171564042073e-005	4.999565e+000
7.861314421184932e-005	4.999866e+000
7.865314421184933e-005	4.999955e+000
7.879028706899220e-005	5.000258e+000
7.892742992613508e-005	5.000545e+000
7.906457278327796e-005	5.000817e+000
7.920171564042084e-005	5.001074e+000
7.933885849756372e-005	5.001315e+000
7.947600135470660e-005	5.001540e+000
7.961314421184948e-005	5.001750e+000
7.971600135470664e-005	5.001891e+000
7.981885849756380e-005	5.002020e+000
7.992171564042096e-005	5.002136e+000
8.002457278327812e-005	5.002239e+000
8.012742992613527e-005	5.002330e+000
8.023028706899243e-005	5.002407e+000
8.033314421184959e-005	5.002472e+000
8.039600135470675e-005	5.002506e+000
8.045885849756390e-005	5.002534e+000
8.052171564042105e-005	5.002557e+000
8.058457278327821e-005	5.002575e+000
8.064742992613536e-005	5.002589e+000
8.071028706899251e-005	5.002597e+000
8.077314421184966e-005	5.002601e+000
8.081314421184967e-005	5.002601e+000
8.089314421184968e-005	5.002596e+000
8.097314421184970e-005	5.002583e+000
8.109314421184972e-005	5.002550e+000
8.121314421184973e-005	5.002501e+000
8.133314421184975e-005	5.002438e+000
8.148742992613549e-005	5.002330e+000
8.164171564042123e-005	5.002206e+000
8.179600135470697e-005	5.002066e+000
8.195028706899271e-005	5.001910e+000
8.210457278327845e-005	5.001738e+000
8.225885849756419e-005	5.001550e+000
8.241314421184993e-005	5.001346e+000
8.259600135470710e-005	5.001090e+000
8.277885849756427e-005	5.000838e+000
8.296171564042144e-005	5.000588e+000
8.314457278327861e-005	5.000341e+000
8.332742992613579e-005	5.000097e+000
8.351028706899296e-005	4.999855e+000
8.369314421185013e-005	4.999617e+000
8.381885849756444e-005	4.999465e+000
8.394457278327874e-005	4.999323e+000
8.407028706899305e-005	4.999191e+000
8.419600135470735e-005	4.999068e+000
8.432171564042166e-005	4.998954e+000
8.444742992613597e-005	4.998850e+000
8.457314421185027e-005	4.998755e+000
8.466457278327886e-005	4.998695e+000
8.475600135470744e-005	4.998640e+000
8.484742992613603e-005	4.998592e+000
8.493885849756462e-005	4.998550e+000
8.503028706899320e-005	4.998515e+000
8.512171564042179e-005	4.998485e+000
8.521314421185037e-005	4.998462e+000
8.526457278327895e-005	4.998451e+000
8.531600135470753e-005	4.998443e+000
8.536742992613611e-005	4.998437e+000
8.541885849756469e-005	4.998432e+000
8.547028706899327e-005	4.998429e+000
8.552171564042185e-005	4.998429e+000
8.557314421185043e-005	4.998430e+000
8.565314421185044e-005	4.998435e+000
8.577314421185046e-005	4.998452e+000
8.589314421185048e-005	4.998478e+000
8.602457278327907e-005	4.998519e+000
8.615600135470767e-005	4.998569e+000
8.628742992613626e-005	4.998627e+000
8.641885849756485e-005	4.998694e+000
8.655028706899344e-005	4.998769e+000
8.668171564042204e-005	4.998853e+000
8.681314421185063e-005	4.998946e+000
8.702457278327923e-005	4.999112e+000
8.723600135470784e-005	4.999280e+000
8.744742992613644e-005	4.999449e+000
8.765885849756505e-005	4.999620e+000
8.787028706899366e-005	4.999792e+000
8.808171564042226e-005	4.999966e+000
8.829314421185087e-005	5.000142e+000
8.842457278327946e-005	5.000242e+000
8.855600135470805e-005	5.000336e+000
8.868742992613664e-005	5.000424e+000
8.881885849756524e-005	5.000506e+000
8.895028706899383e-005	5.000583e+000
8.908171564042242e-005	5.000653e+000
8.921314421185101e-005	5.000717e+000
8.931028706899389e-005	5.000759e+000
8.940742992613676e-005	5.000797e+000
8.950457278327963e-005	5.000831e+000
8.960171564042250e-005	5.000861e+000
8.969885849756538e-005	5.000886e+000
8.979600135470825e-005	5.000907e+000
8.989314421185112e-005	5.000924e+000
8.995028706899399e-005	5.000932e+000
9.000742992613685e-005	5.000938e+000
9.006457278327972e-005	5.000943e+000
9.012171564042259e-005	5.000947e+000
9.017885849756545e-005	5.000949e+000
9.023600135470832e-005	5.000950e+000
9.029314421185119e-005	5.000949e+000
9.041314421185120e-005	5.000942e+000
9.053314421185122e-005	5.000930e+000
